season,title,rating,votes,double,episode,month,director,writer
2,Casino Night,9.4,6692,0,22,5,Greg Daniels,Steve Carell
3,Gay Witch Hunt,9.0,5952,0,1,9,Ken Kwapis,Greg Daniels
3,The Convention,8.2,4354,0,2,9,Ken Whittingham,Lee Eisenberg;Gene Stupnitsky
3,The Coup,8.5,4562,0,3,10,Greg Daniels,Paul Lieberstein
3,Grief Counseling,8.0,4366,0,4,10,Roger Nygard,Jennifer Celotta
3,Initiation,8.1,4248,0,5,10,Randall Einhorn,B.J. Novak
3,Diwali,7.9,4443,0,6,11,Miguel Arteta,Mindy Kaling
3,Branch Closing,8.6,4371,0,7,11,Tucker Gates,Michael Schur
3,The Merger,8.7,4558,0,8,11,Ken Whittingham,Brent Forrester
3,The Convict,8.3,4564,0,9,11,Jeffrey Blitz,Ricky Gervais;Stephen Merchant
3,A Benihana Christmas,8.8,4791,1,10,12,Harold Ramis,Jennifer Celotta
3,Back from Vacation,8.6,4333,0,12,1,Julian Farino,Justin Spitzer
3,Traveling Salesmen,8.6,4371,0,13,1,Greg Daniels,Michael Schur;Lee Eisenberg;Gene Stupnitsky
3,The Return,8.8,4592,0,14,1,Greg Daniels,Lee Eisenberg;Gene Stupnitsky;Michael Schur
3,Ben Franklin,8.0,4246,0,15,2,Randall Einhorn,Mindy Kaling
3,Phyllis' Wedding,8.2,4301,0,16,2,Ken Whittingham,Caroline Williams
3,Business School,8.9,4994,0,17,2,Joss Whedon,Brent Forrester
3,Cocktails,8.5,4251,0,18,2,J.J. Abrams,Paul Lieberstein
3,The Negotiation,9.0,4848,0,19,4,Jeffrey Blitz,Michael Schur
3,Safety Training,8.8,4516,0,20,4,Harold Ramis,B.J. Novak
3,Product Recall,8.7,4455,0,21,4,Randall Einhorn,Brent Forrester;Justin Spitzer
3,Women's Appreciation,8.8,4519,0,22,5,Tucker Gates,Lee Eisenberg;Gene Stupnitsky
3,Beach Games,9.2,5211,0,23,5,Harold Ramis,Jennifer Celotta;Greg Daniels
3,The Job,9.3,5482,1,24,5,Ken Kwapis,Paul Lieberstein;Michael Schur
4,Fun Run,8.8,5065,1,1,9,Greg Daniels,Greg Daniels
4,Dunder Mifflin Infinity,8.3,4174,1,3,10,Craig Zisk,Michael Schur
4,Launch Party,8.4,4064,1,5,10,Ken Whittingham,Jennifer Celotta
4,Money,8.7,4377,1,7,10,Paul Lieberstein,Paul Lieberstein
4,Local Ad,8.8,4488,0,9,10,Jason Reitman,B.J. Novak
4,Branch Wars,8.5,4150,0,10,11,Joss Whedon,Mindy Kaling
4,Survivor Man,8.2,3984,0,11,11,Paul Feig,Steve Carell
4,The Deposition,8.7,4235,0,12,11,Julian Farino,Lester Lewis
4,Dinner Party,9.5,8203,0,13,4,Paul Feig,Lee Eisenberg;Gene Stupnitsky
4,Chair Model,8.0,3922,0,14,4,Jeffrey Blitz,B.J. Novak
4,Night Out,8.6,4076,0,15,4,Ken Whittingham,Mindy Kaling
4,Did I Stutter?,8.3,3910,0,16,5,Randall Einhorn,Brent Forrester;Justin Spitzer
4,Job Fair,7.7,3744,0,17,5,Tucker Gates,Lee Eisenberg;Gene Stupnitsky
4,"Goodbye, Toby",9.4,5577,1,18,5,Paul Feig,Jennifer Celotta;Paul Lieberstein
5,Weight Loss,8.8,4597,1,1,9,Paul Feig,Lee Eisenberg;Gene Stupnitsky
5,Business Ethics,8.2,3770,0,3,10,Jeffrey Blitz,Ryan Koh
5,Baby Shower,8.0,3759,0,4,10,Greg Daniels,Aaron Shure
5,Crime Aid,8.1,3617,0,5,10,Jennifer Celotta,Charlie Grandy
5,Employee Transfer,8.0,3718,0,6,10,David Rogers,Anthony Q. Farrell
5,Customer Survey,8.5,3879,0,7,11,Stephen Merchant,Lester Lewis
5,Business Trip,8.2,3619,0,8,11,Randall Einhorn,Brent Forrester
5,Frame Toby,8.6,4038,0,9,11,Jason Reitman,Mindy Kaling
5,The Surplus,8.8,4009,0,10,12,Paul Feig,Lee Eisenberg;Gene Stupnitsky
5,Moroccan Christmas,8.4,3751,0,11,12,Paul Feig,Justin Spitzer
5,The Duel,8.7,3913,0,12,1,Dean Holland,Jennifer Celotta
5,Prince Family Paper,8.0,3766,0,13,1,Asaad Kelada,B.J. Novak
5,Stress Relief,9.7,11895,1,14,2,Jeffrey Blitz,Paul Lieberstein
5,Lecture Circuit: Part 1,8.2,3594,0,16,2,Ken Kwapis,Mindy Kaling
5,Lecture Circuit: Part 2,8.1,3552,0,17,2,Ken Kwapis,Mindy Kaling
5,Blood Drive,8.0,3557,0,18,3,Randall Einhorn,Brent Forrester
5,Golden Ticket,8.7,3870,0,19,3,Randall Einhorn,Mindy Kaling
5,New Boss,8.3,3617,0,20,3,Paul Feig,Lee Eisenberg;Gene Stupnitsky
5,Two Weeks,8.4,3602,0,21,3,Paul Lieberstein,Aaron Shure
5,Dream Team,8.3,3592,0,22,4,Paul Feig,B.J. Novak
5,Michael Scott Paper Company,8.7,3946,0,23,4,Lee Eisenberg;Gene Stupnitsky,Justin Spitzer
5,Heavy Competition,8.7,3708,0,24,4,Ken Whittingham,Ryan Koh
5,Broke,9.3,4998,0,25,4,Steve Carell,Charlie Grandy
5,Casual Friday,8.3,3556,0,26,4,Brent Forrester,Anthony Q. Farrell
5,Cafe Disco,8.8,4172,0,27,5,Randall Einhorn,Warren Lieberstein;Halsted Sullivan
5,Company Picnic,9.0,4255,0,28,5,Ken Kwapis,Jennifer Celotta;Paul Lieberstein
6,Gossip,8.8,4184,0,1,9,Paul Lieberstein,Paul Lieberstein
6,The Meeting,8.1,3402,0,2,9,Randall Einhorn,Aaron Shure
6,The Promotion,8.0,3390,0,3,10,Jennifer Celotta,Jennifer Celotta
6,Niagara,9.4,6277,1,4,10,Paul Feig,Greg Daniels;Mindy Kaling
