season,episode,title,director,writer
6,26,Whistleblower,Paul Lieberstein,Warren Lieberstein;Halsted Sullivan
7,1,Nepotism,Jeffrey Blitz,Daniel Chun
7,2,Counseling,Jeffrey Blitz,B.J. Novak
7,3,Andy's Play,John Scott,Charlie Grandy
7,4,s*x Ed,Paul Lieberstein,Paul Lieberstein
7,5,The Sting,Randall Einhorn,Mindy Kaling
7,6,Costume Contest,Dean Holland,Justin Spitzer
7,7,Christening,Alex Hardcastle,Peter Ocko
7,8,Viewing Party,Ken Whittingham,Jon Vitti
7,9,WUPHF.com,Danny Leiner,Aaron Shure
7,10,China,Charles McDougall,Warren Lieberstein;Halsted Sullivan
7,11,Classy Christmas (Parts 1&2),Rainn Wilson,Mindy Kaling
7,13,Ultimatum,David Rogers,Carrie Kemper
7,14,The Seminar,B.J. Novak,Steve Hely
7,15,The Search,Michael Spiller,Brent Forrester
7,16,PDA,Greg Daniels,Robert Padnick
7,17,Threat Level Midnight,Tucker Gates,B.J. Novak
7,18,Todd Packer,Randall Einhorn,Amelie Gillette
7,19,Garage Sale,Steve Carell,Jon Vitti
7,20,Training Day,Paul Lieberstein,Daniel Chun
7,21,Michael's Last Dundies,Mindy Kaling,Mindy Kaling
7,22,"Goodbye, Michael",Paul Feig,Greg Daniels
7,23,The Inner Circle,Matt Sohn,Charlie Grandy
7,24,"Dwight K. Schrute, (Acting) Manager",Troy Miller,Justin Spitzer
7,25,Search Committee (Parts 1&2),Jeffrey Blitz,Paul Lieberstein
8,1,The List,B.J. Novak,B.J. Novak
8,2,The Incentive,Charles McDougall,Paul Lieberstein
8,3,Lotto,John Krasinski,Charlie Grandy
8,4,Garden Party,David Rogers,Justin Spitzer
8,5,Spooked,Randall Einhorn,Carrie Kemper
8,6,Doomsday,Troy Miller,Daniel Chun
8,7,Pam's Replacement,Matt Sohn,Allison Silverman
8,8,Gettysburg,Jeffrey Blitz,Robert Padnick
8,9,Mrs. California,Charlie Grandy,Dan Greaney
8,10,Christmas Wishes,Ed Helms,Mindy Kaling
8,11,Trivia,B.J. Novak,Steve Hely
8,12,Pool Party,Charles McDougall,Owen Ellickson
8,13,Jury Duty,Eric Appel,Aaron Shure
8,14,Special Project,David Rogers,Amelie Gillette
8,15,Tallahassee,Matt Sohn,Daniel Chun
8,16,After Hours,Brian Baumgartner,Warren Lieberstein;Halsted Sullivan
8,17,Test The Store,Brent Forrester,Mindy Kaling
8,18,Last Day In Florida,Matt Sohn,Robert Padnick
8,19,Get The Girl,Rainn Wilson,Charlie Grandy
8,20,Welcome Party,Ed Helms,Steve Hely
8,21,Angry Andy,Claire Scanlon,Justin Spitzer
8,22,Fundraiser,David Rogers,Owen Ellickson
8,23,Turf War,Daniel Chun,Warren Lieberstein;Halsted Sullivan
8,24,Free Family Portrait Studio,B.J. Novak,B.J. Novak
9,1,The New Guys,Greg Daniels,Greg Daniels
9,2,Roy's Wedding,Matt Sohn,Allison Silverman
9,3,Andy's Ancestry,David Rogers,Jonathan Green;Gabe Miller
9,4,Work Bus,Bryan Cranston,Brent Forrester
9,5,Here Comes Treble,Claire Scanlon,Owen Ellickson
9,6,The Boat,John Krasinski,Dan Sterling
9,7,The Whale,Rodman Flender,Carrie Kemper
9,8,The Target,Brent Forrester,Graham Wagner
9,9,Dwight Christmas,Charles McDougall,Robert Padnick
9,10,Lice,Rodman Flender,Nicki Schwartz-Wright
9,11,Suit Warehouse,Matt Sohn,Dan Greaney
9,12,Customer Loyalty,Kelly Cantley-Kashima,Jonathan Green;Gabe Miller
9,13,Junior Salesman,David Rogers,Carrie Kemper
9,14,Vandalism,Lee Kirk,Owen Ellickson
9,15,Couples Discount,Troy Miller,Allison Silverman
9,16,Moving On,Jon Favreau,Graham Wagner
9,17,The Farm,Paul Lieberstein,Paul Lieberstein
9,18,Promos,Jennifer Celotta,Tim McAuliffe
9,19,Stairmageddon,Matt Sohn,Dan Sterling
9,20,Paper Airplane,Jesse Peretz,Warren Lieberstein;Halsted Sullivan
9,21,Livin' the Dream,Jeffrey Blitz,Nicki Schwartz-Wright
9,22,A.A.R.M,David Rogers,Brent Forrester
9,24,Finale,Ken Kwapis,Greg Daniels
